@iot.id,phenomenonDate,result,id,lat,long,weekday,Weeknumber,yearnumber,Weeknumberstring,Week in year,Season
53659775,2020-12-21,11839,14428,53.635059,10.016009,Monday,52,2020,52,202052,winter
53660277,2020-12-21,29959,12968,53.625384999999994,10.031895,Monday,52,2020,52,202052,winter
53659790,2020-12-21,16503,13816,53.61841999999999,10.079711,Monday,52,2020,52,202052,winter
53660171,2020-12-21,1121,14068,53.543845,9.998128,Monday,52,2020,52,202052,winter
53659730,2020-12-21,3700,14244,53.598788,9.991413,Monday,52,2020,52,202052,winter
53659786,2020-12-21,6391,13828,53.618798,10.081566,Monday,52,2020,52,202052,winter
53659849,2020-12-21,22362,13708,53.573584,9.838457,Monday,52,2020,52,202052,winter
53660055,2020-12-21,18868,13464,53.592061,10.108516999999999,Monday,52,2020,52,202052,winter
53659819,2020-12-21,4071,13188,53.547836,9.933591999999999,Monday,52,2020,52,202052,winter
53660048,2020-12-21,7402,13440,53.553525,10.067053999999999,Monday,52,2020,52,202052,winter
53660045,2020-12-21,10876,13436,53.553704,10.067059,Monday,52,2020,52,202052,winter
53660095,2020-12-21,10102,13444,53.584915,10.120144,Monday,52,2020,52,202052,winter
53660526,2020-12-21,2118,14364,53.483064,9.991335000000001,Monday,52,2020,52,202052,winter
53659758,2020-12-21,7653,14812,53.628402,10.140319,Monday,52,2020,52,202052,winter
53659932,2020-12-21,7888,14160,53.550024,9.968236,Monday,52,2020,52,202052,winter
53660242,2020-12-21,12677,13668,53.629821,10.026181,Monday,52,2020,52,202052,winter
53660142,2020-12-21,4616,14832,53.642466000000006,9.927316000000001,Monday,52,2020,52,202052,winter
53659721,2020-12-21,6157,14008,53.645182,9.90842,Monday,52,2020,52,202052,winter
53660186,2020-12-21,4117,13416,53.44443100000001,9.955715,Monday,52,2020,52,202052,winter
53659787,2020-12-21,5935,13808,53.618618999999995,10.081561,Monday,52,2020,52,202052,winter
53659965,2020-12-21,23302,13616,53.574408,10.034157,Monday,52,2020,52,202052,winter
53660197,2020-12-21,12629,13908,53.466687,9.807244,Monday,52,2020,52,202052,winter
53659754,2020-12-21,9890,14480,53.630062,10.141542999999999,Monday,52,2020,52,202052,winter
53659743,2020-12-21,19513,13204,53.603112,9.989127,Monday,52,2020,52,202052,winter
53660266,2020-12-21,29520,13628,53.608274,10.047046,Monday,52,2020,52,202052,winter
53659789,2020-12-21,16459,14840,53.618547,10.079503,Monday,52,2020,52,202052,winter
53659728,2020-12-21,1631,14836,53.598878000000006,9.991415,Monday,52,2020,52,202052,winter
53659799,2020-12-21,5213,14724,53.60603100000001,10.167919,Monday,52,2020,52,202052,winter
53660173,2020-12-21,3341,14064,53.543847,9.997977,Monday,52,2020,52,202052,winter
53659869,2020-12-21,3711,14552,53.58199200000001,9.979933,Monday,52,2020,52,202052,winter
53660422,2020-12-21,3475,14576,53.579995,10.056241,Monday,52,2020,52,202052,winter
53659776,2020-12-21,12064,14792,53.635056000000006,10.016311,Monday,52,2020,52,202052,winter
53659792,2020-12-21,11617,13840,53.60122,10.034359,Monday,52,2020,52,202052,winter
53659715,2020-12-21,4470,14328,53.558652,9.963919,Monday,52,2020,52,202052,winter
53659791,2020-12-21,32962,13812,53.618483999999995,10.079607000000001,Monday,52,2020,52,202052,winter
53659892,2020-12-21,3003,13556,53.55039300000001,9.935414999999999,Monday,52,2020,52,202052,winter
