@iot.id,phenomenonDate,result,id,lat,long,weekday
39396809,2020-07-20,3885,11822,53.580518,9.999531,Monday
39397085,2020-07-22,4741,11822,53.580518,9.999531,Wednesday
39397495,2020-07-24,3361,11822,53.580518,9.999531,Friday
39397349,2020-07-23,4817,11822,53.580518,9.999531,Thursday
39397637,2020-07-25,2994,11822,53.580518,9.999531,Saturday
39397806,2020-07-26,1983,11822,53.580518,9.999531,Sunday
39398086,2020-07-27,4329,11822,53.580518,9.999531,Monday
39398321,2020-07-28,4529,11822,53.580518,9.999531,Tuesday
39403317,2020-08-20,5655,11822,53.580518,9.999531,Thursday
39398592,2020-07-29,4158,11822,53.580518,9.999531,Wednesday
39398897,2020-07-30,4663,11822,53.580518,9.999531,Thursday
39399222,2020-08-01,3262,11822,53.580518,9.999531,Saturday
39399059,2020-07-31,4921,11822,53.580518,9.999531,Friday
39399410,2020-08-02,3074,11822,53.580518,9.999531,Sunday
39399657,2020-08-03,5356,11822,53.580518,9.999531,Monday
39399823,2020-08-04,6250,11822,53.580518,9.999531,Tuesday
39399971,2020-08-05,6366,11822,53.580518,9.999531,Wednesday
39401532,2020-08-12,6187,11822,53.580518,9.999531,Wednesday
39400269,2020-08-06,6479,11822,53.580518,9.999531,Thursday
39400616,2020-08-07,5468,11822,53.580518,9.999531,Friday
39400766,2020-08-08,3308,11822,53.580518,9.999531,Saturday
39400915,2020-08-09,3370,11822,53.580518,9.999531,Sunday
39401196,2020-08-10,5595,11822,53.580518,9.999531,Monday
39401365,2020-08-11,6176,11822,53.580518,9.999531,Tuesday
39401704,2020-08-13,6127,11822,53.580518,9.999531,Thursday
39401984,2020-08-14,5304,11822,53.580518,9.999531,Friday
39402191,2020-08-15,3655,11822,53.580518,9.999531,Saturday
39402524,2020-08-16,3780,11822,53.580518,9.999531,Sunday
39402751,2020-08-17,5269,11822,53.580518,9.999531,Monday
39402991,2020-08-18,5106,11822,53.580518,9.999531,Tuesday
39403145,2020-08-19,6426,11822,53.580518,9.999531,Wednesday
39403596,2020-08-21,3825,11822,53.580518,9.999531,Friday
39403755,2020-08-22,2974,11822,53.580518,9.999531,Saturday
39403919,2020-08-23,2797,11822,53.580518,9.999531,Sunday
39404114,2020-08-24,2814,11822,53.580518,9.999531,Monday
39404830,2020-08-26,1713,11822,53.580518,9.999531,Wednesday
39409022,2020-09-14,5799,11822,53.580518,9.999531,Monday
39404591,2020-08-25,3979,11822,53.580518,9.999531,Tuesday
39405244,2020-08-28,3289,11822,53.580518,9.999531,Friday
39404985,2020-08-27,4333,11822,53.580518,9.999531,Thursday
39405592,2020-08-30,3715,11822,53.580518,9.999531,Sunday
39405448,2020-08-29,3279,11822,53.580518,9.999531,Saturday
39405742,2020-08-31,5034,11822,53.580518,9.999531,Monday
39406030,2020-09-01,5938,11822,53.580518,9.999531,Tuesday
39407995,2020-09-10,4720,11822,53.580518,9.999531,Thursday
39406231,2020-09-02,5478,11822,53.580518,9.999531,Wednesday
39406820,2020-09-04,4185,11822,53.580518,9.999531,Friday
39406565,2020-09-03,3591,11822,53.580518,9.999531,Thursday
39407057,2020-09-05,2026,11822,53.580518,9.999531,Saturday
39407220,2020-09-06,2062,11822,53.580518,9.999531,Sunday
39407372,2020-09-07,4279,11822,53.580518,9.999531,Monday
39417405,2020-10-21,2719,11822,53.580518,9.999531,Wednesday
39417572,2020-10-22,4348,11822,53.580518,9.999531,Thursday
39407674,2020-09-08,3885,11822,53.580518,9.999531,Tuesday
